name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
RT1-RT2	ECOG	uV	n/a	n/a	bipolar	RT	2000.0	strip	n/a
RT2-RT3	ECOG	uV	n/a	n/a	bipolar	RT	2000.0	strip	n/a
RT3-RT4	ECOG	uV	n/a	n/a	bipolar	RT	2000.0	strip	n/a
RT4-RT5	ECOG	uV	n/a	n/a	bipolar	RT	2000.0	strip	n/a
RT5-RT6	ECOG	uV	n/a	n/a	bipolar	RT	2000.0	strip	n/a
RH1-RH2	SEEG	uV	n/a	n/a	bipolar	RH	2000.0	depth	n/a
RH2-RH3	SEEG	uV	n/a	n/a	bipolar	RH	2000.0	depth	n/a
RH3-RH4	SEEG	uV	n/a	n/a	bipolar	RH	2000.0	depth	n/a
RH4-RH5	SEEG	uV	n/a	n/a	bipolar	RH	2000.0	depth	n/a
RH5-RH6	SEEG	uV	n/a	n/a	bipolar	RH	2000.0	depth	n/a
LF1-LF2	ECOG	uV	n/a	n/a	bipolar	LF	2000.0	strip	n/a
LF2-LF3	ECOG	uV	n/a	n/a	bipolar	LF	2000.0	strip	n/a
LF3-LF4	ECOG	uV	n/a	n/a	bipolar	LF	2000.0	strip	n/a
LF4-LF5	ECOG	uV	n/a	n/a	bipolar	LF	2000.0	strip	n/a
LF5-LF6	ECOG	uV	n/a	n/a	bipolar	LF	2000.0	strip	n/a
LF6-LF7	ECOG	uV	n/a	n/a	bipolar	LF	2000.0	strip	n/a
LF7-LF8	ECOG	uV	n/a	n/a	bipolar	LF	2000.0	strip	n/a
LFDA1-LFDA2	SEEG	uV	n/a	n/a	bipolar	LFDA	2000.0	depth	n/a
LFDA2-LFDA3	SEEG	uV	n/a	n/a	bipolar	LFDA	2000.0	depth	n/a
LFDA3-LFDA4	SEEG	uV	n/a	n/a	bipolar	LFDA	2000.0	depth	n/a
LFDA4-LFDA5	SEEG	uV	n/a	n/a	bipolar	LFDA	2000.0	depth	n/a
LFDA5-LFDA6	SEEG	uV	n/a	n/a	bipolar	LFDA	2000.0	depth	n/a
LFDB1-LFDB2	SEEG	uV	n/a	n/a	bipolar	LFDB	2000.0	depth	n/a
LFDB2-LFDB3	SEEG	uV	n/a	n/a	bipolar	LFDB	2000.0	depth	n/a
LFDB3-LFDB4	SEEG	uV	n/a	n/a	bipolar	LFDB	2000.0	depth	n/a
LFDB4-LFDB5	SEEG	uV	n/a	n/a	bipolar	LFDB	2000.0	depth	n/a
LFDB5-LFDB6	SEEG	uV	n/a	n/a	bipolar	LFDB	2000.0	depth	n/a
