name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
RFA1-RFA2	ECOG	V	n/a	n/a	bipolar	RFA	1000.0	strip	n/a
RFA2-RFA3	ECOG	V	n/a	n/a	bipolar	RFA	1000.0	strip	n/a
RFA3-RFA4	ECOG	V	n/a	n/a	bipolar	RFA	1000.0	strip	n/a
RFA4-RFA5	ECOG	V	n/a	n/a	bipolar	RFA	1000.0	strip	n/a
RFA5-RFA6	ECOG	V	n/a	n/a	bipolar	RFA	1000.0	strip	n/a
RFA6-RFA7	ECOG	V	n/a	n/a	bipolar	RFA	1000.0	strip	n/a
RFB1-RFB2	ECOG	V	n/a	n/a	bipolar	RFB	1000.0	strip	n/a
RFB2-RFB3	ECOG	V	n/a	n/a	bipolar	RFB	1000.0	strip	n/a
RFB3-RFB5	ECOG	V	n/a	n/a	bipolar	RFB	1000.0	strip	n/a
RFB5-RFB6	ECOG	V	n/a	n/a	bipolar	RFB	1000.0	strip	n/a
RFB6-RFB7	ECOG	V	n/a	n/a	bipolar	RFB	1000.0	strip	n/a
RFB7-RFB8	ECOG	V	n/a	n/a	bipolar	RFB	1000.0	strip	n/a
RFC1-RFC2	ECOG	V	n/a	n/a	bipolar	RFC	1000.0	strip	n/a
RFC2-RFC3	ECOG	V	n/a	n/a	bipolar	RFC	1000.0	strip	n/a
RFC3-RFC4	ECOG	V	n/a	n/a	bipolar	RFC	1000.0	strip	n/a
RFC4-RFC5	ECOG	V	n/a	n/a	bipolar	RFC	1000.0	strip	n/a
RFC5-RFC6	ECOG	V	n/a	n/a	bipolar	RFC	1000.0	strip	n/a
RFC6-RFC7	ECOG	V	n/a	n/a	bipolar	RFC	1000.0	strip	n/a
RFC7-RFC8	ECOG	V	n/a	n/a	bipolar	RFC	1000.0	strip	n/a
RFD1-RFD2	ECOG	V	n/a	n/a	bipolar	RFD	1000.0	strip	n/a
RFD2-RFD3	ECOG	V	n/a	n/a	bipolar	RFD	1000.0	strip	n/a
RFD3-RFD4	ECOG	V	n/a	n/a	bipolar	RFD	1000.0	strip	n/a
RFD4-RFD5	ECOG	V	n/a	n/a	bipolar	RFD	1000.0	strip	n/a
RFD5-RFD6	ECOG	V	n/a	n/a	bipolar	RFD	1000.0	strip	n/a
