name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
RAH1	SEEG	uV	n/a	n/a	RAH	500.0	depth	n/a
RAH2	SEEG	uV	n/a	n/a	RAH	500.0	depth	n/a
RAH3	SEEG	uV	n/a	n/a	RAH	500.0	depth	n/a
RAH4	SEEG	uV	n/a	n/a	RAH	500.0	depth	n/a
RAH5	SEEG	uV	n/a	n/a	RAH	500.0	depth	n/a
RAH6	SEEG	uV	n/a	n/a	RAH	500.0	depth	n/a
RPH1	SEEG	uV	n/a	n/a	RPH	500.0	depth	n/a
RPH2	SEEG	uV	n/a	n/a	RPH	500.0	depth	n/a
RPH3	SEEG	uV	n/a	n/a	RPH	500.0	depth	n/a
RPH4	SEEG	uV	n/a	n/a	RPH	500.0	depth	n/a
RPH5	SEEG	uV	n/a	n/a	RPH	500.0	depth	n/a
RPH6	SEEG	uV	n/a	n/a	RPH	500.0	depth	n/a
LAH1	SEEG	uV	n/a	n/a	LAH	500.0	depth	n/a
LAH2	SEEG	uV	n/a	n/a	LAH	500.0	depth	n/a
LAH3	SEEG	uV	n/a	n/a	LAH	500.0	depth	n/a
LAH4	SEEG	uV	n/a	n/a	LAH	500.0	depth	n/a
LAH5	SEEG	uV	n/a	n/a	LAH	500.0	depth	n/a
LAH6	SEEG	uV	n/a	n/a	LAH	500.0	depth	n/a
LPH1	SEEG	uV	n/a	n/a	LPH	500.0	depth	n/a
LPH2	SEEG	uV	n/a	n/a	LPH	500.0	depth	n/a
LPH3	SEEG	uV	n/a	n/a	LPH	500.0	depth	n/a
LPH4	SEEG	uV	n/a	n/a	LPH	500.0	depth	n/a
LPH5	SEEG	uV	n/a	n/a	LPH	500.0	depth	n/a
LPH6	SEEG	uV	n/a	n/a	LPH	500.0	depth	n/a
RST1	ECOG	uV	n/a	n/a	RST	500.0	strip	n/a
RST2	ECOG	uV	n/a	n/a	RST	500.0	strip	n/a
RST3	ECOG	uV	n/a	n/a	RST	500.0	strip	n/a
RST4	ECOG	uV	n/a	n/a	RST	500.0	strip	n/a
RST5	ECOG	uV	n/a	n/a	RST	500.0	strip	n/a
RST6	ECOG	uV	n/a	n/a	RST	500.0	strip	n/a
RST7	ECOG	uV	n/a	n/a	RST	500.0	strip	n/a
RST8	ECOG	uV	n/a	n/a	RST	500.0	strip	n/a
RPT1	ECOG	uV	n/a	n/a	RPT	500.0	strip	n/a
RPT2	ECOG	uV	n/a	n/a	RPT	500.0	strip	n/a
RPT3	ECOG	uV	n/a	n/a	RPT	500.0	strip	n/a
RPT4	ECOG	uV	n/a	n/a	RPT	500.0	strip	n/a
RPT5	ECOG	uV	n/a	n/a	RPT	500.0	strip	n/a
RPT6	ECOG	uV	n/a	n/a	RPT	500.0	strip	n/a
RPT7	ECOG	uV	n/a	n/a	RPT	500.0	strip	n/a
RPT8	ECOG	uV	n/a	n/a	RPT	500.0	strip	n/a
RFA1	ECOG	uV	n/a	n/a	RFA	500.0	strip	n/a
RFA2	ECOG	uV	n/a	n/a	RFA	500.0	strip	n/a
RFA3	ECOG	uV	n/a	n/a	RFA	500.0	strip	n/a
RFA4	ECOG	uV	n/a	n/a	RFA	500.0	strip	n/a
